iso2,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
PY,4,4,4,4,4,4,4,0,4,4,4,4,7,8,4,4,12,14,4,7,8,8,8,7
PE,89,93,101,109,82,81,90,52,109,120,107,95,71,51,62,48,68,80,50,91,110,80,84,59
PH,122,113,122,143,151,86,106,114,120,117,100,176,141,175,153,240,195,191,231,241,280,307,361,387
PN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
QA,137,141,148,162,171,189,198,257,291,321,464,664,602,615,661,685,843,796,900,1304,917,1131,1685,1041
RU,340,375,477,641,624,754,866,991,1143,1596,1565,1623,1459,1458,1849,1735,2207,2280,1911,1720,2011,1935,1968,1774
RW,4,4,4,4,4,4,4,4,4,4,4,11,9,21,12,20,4,7,12,9,12,11,7,5
WS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SM,0,0,0,0,0,0,0,0,0,0,0,4,0,8,4,0,0,0,0,4,6,2,4,0
ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA,1364,1491,1595,1734,1551,1507,1838,1866,1882,2119,1290,1326,2640,3987,3202,4885,6251,5281,6185,5985,5751,4439,4911,5478
SN,25,29,28,30,35,35,38,37,43,47,44,70,81,106,140,150,25,31,33,88,100,117,34,44
RS,0,0,0,55,4,6,8,8,8,11,59,51,98,190,124,79,58,62,52,74,93,86,82,116
SC,12,13,13,14,16,17,17,18,20,22,21,39,48,23,46,18,14,17,18,25,32,19,38,15
SL,9,9,11,11,12,13,13,13,15,17,16,48,70,36,26,24,20,25,36,24,41,34,34,18
SG,1141,1188,1270,1282,1546,1304,1752,2193,2608,3288,4117,3746,3849,3566,4244,2905,3254,4028,4635,4092,4512,4716,6303,5373
SX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,2,4,2
SB,0,0,0,0,0,0,0,0,0,0,0,0,11,13,8,4,3,0,6,6,9,10,8,8
SO,0,0,0,1,3,2,4,3,4,4,4,0,8,28,0,4,8,8,16,34,44,32,23,12
ZA,1010,1099,1195,1140,1279,1148,1265,1298,1359,1572,1800,1490,1559,1898,2144,2342,2081,2297,2028,2068,2203,2342,2302,2194
GS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KR,432,420,458,541,576,519,562,1171,891,1096,1074,1006,863,925,1403,1341,1551,2068,2034,2190,2207,2288,2364,2262
SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,38,27,24
LK,47,51,55,64,72,61,71,77,95,126,126,95,79,124,149,119,119,108,134,115,128,216,138,127
KN,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,8,12,12,8,4,15,8,24,1
LC,4,4,4,4,4,4,4,4,7,8,8,17,6,12,18,4,4,4,19,40,31,19,12,30
VC,4,4,4,4,6,8,8,9,12,14,16,5,6,4,1,4,4,4,4,9,6,6,4,5
SH,1,4,4,4,4,4,4,4,4,4,4,0,12,4,4,4,3,4,4,42,4,5,7,3
SD,25,29,27,28,34,35,38,37,40,46,44,73,84,126,101,48,107,129,63,19,19,53,57,46
SR,8,8,8,8,6,6,8,4,8,8,8,11,15,14,4,4,4,4,4,7,5,6,4,3
CH,1965,2076,2249,2383,2930,3221,3862,3759,4526,5215,5846,6170,8779,8469,8522,8277,10873,10173,9944,11634,12228,14131,12001,12207
SY,15,17,18,21,25,21,21,23,33,29,40,67,62,50,47,8,7,4,1,8,49,2,8,22
TW,317,337,349,398,395,448,462,632,708,764,604,497,476,1018,641,589,687,720,776,1183,1176,1484,1545,1562
TJ,12,12,12,16,17,15,17,19,23,31,32,51,4,8,16,11,8,7,4,0,11,4,8,7
TZ,23,25,25,28,31,31,33,33,37,42,39,69,80,86,107,145,99,118,162,107,101,53,43,36
TH,217,230,234,196,225,219,311,361,263,318,268,319,350,320,403,489,683,676,747,628,870,953,986,853
BS,82,72,78,89,96,109,121,146,205,223,270,172,248,291,203,173,220,202,144,158,193,99,232,145
GM,12,12,12,13,16,15,17,16,18,21,19,16,12,9,20,4,4,8,4,4,6,28,147,137
TG,7,8,8,8,8,9,9,9,11,12,12,12,12,15,20,21,32,39,25,45,124,44,42,41
TK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,4,0,0,0,0,0,0,0
TT,41,38,40,45,49,55,61,73,103,113,136,191,223,182,172,192,312,288,188,193,181,88,123,123
TN,20,24,23,35,30,32,47,51,59,69,76,119,257,244,267,236,141,131,110,72,59,52,74,45
TR,429,475,519,495,596,503,553,518,675,774,1100,1090,1416,1449,1607,1604,1854,1648,1916,1696,1541,1645,1691,1173
TM,4,5,4,8,8,7,8,8,11,13,13,18,8,11,31,84,100,91,36,15,6,6,8,13
TC,9,9,8,11,12,13,16,17,24,26,32,13,20,12,8,16,15,13,9,12,5,5,8,12
TV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UG,25,29,27,28,33,35,37,37,40,46,43,61,108,101,125,137,44,54,48,211,69,127,115,122
UA,13,14,17,65,19,191,122,31,102,105,333,282,370,320,357,266,194,195,168,182,195,164,245,180
AE,448,462,481,530,560,618,649,841,949,1046,1516,1932,2355,2642,2347,2768,3232,3054,3383,4104,3713,4441,4296,3561
US,16252,16939,18377,20726,21351,23121,25368,27701,28369,34060,36581,38461,36821,37604,45310,47364,53550,55745,56459,62986,69332,76725,83302,81967
UY,4,5,4,4,4,0,54,3,3,0,0,9,7,33,37,27,24,36,61,23,18,19,21,39
UM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,4
VI,4,4,4,4,4,4,4,8,8,9,12,7,4,4,10,4,6,4,4,4,18,19,44,6
UZ,3,4,4,4,4,4,4,4,4,5,5,14,8,11,25,30,36,33,26,30,44,61,31,38
VU,0,0,0,0,0,0,0,0,0,0,0,4,0,10,8,0,0,0,0,0,0,6,0,2
VA,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,24,0,0,0,4,5,0,1,0
VE,47,56,64,71,81,78,80,79,96,88,77,84,117,126,123,153,190,213,162,116,110,93,102,86
VN,32,33,35,44,48,40,46,51,64,85,83,89,226,178,173,171,142,129,184,224,203,290,302,267
WF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YE,17,18,19,20,22,24,25,33,37,42,59,55,50,35,25,20,53,49,19,11,23,20,23,9
ZM,25,29,27,28,33,35,37,37,40,46,43,39,69,136,108,61,63,76,90,76,37,42,49,76
ZW,24,25,25,28,31,31,34,33,37,42,39,31,59,46,89,108,68,84,63,110,220,234,38,96
