iso2,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
NU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
NF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
KP,0,0,0,0,0,0,0,0,0,0,0,4,8,4,0,2,1,0,0,9,13,11,5,15
MK,0,0,1,3,4,4,4,4,4,4,4,4,8,22,27,23,4,5,16,472,212,159,217,106
MP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,6
NO,488,513,536,668,718,906,699,792,933,1036,921,1179,1142,1057,1228,1166,1448,1572,1528,1351,1675,1586,2127,1397
PS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,17,18,0,3
OM,9,9,12,11,13,14,17,21,22,28,34,66,57,77,99,136,88,88,100,105,113,116,147,89
PK,277,291,315,289,304,435,432,466,534,569,380,352,432,484,368,547,456,431,380,459,564,539,552,180
PW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PA,5,5,6,7,6,6,7,10,9,11,12,10,14,16,50,65,27,27,57,95,38,57,58,37
PG,0,1,0,4,3,9,0,10,23,24,8,22,148,25,36,0,4,4,13,4,13,30,49,32
PY,4,4,4,4,3,4,4,0,4,0,0,0,1,4,1,4,5,9,1,4,0,7,6,3
PE,38,37,42,42,19,21,24,8,27,10,7,9,63,44,59,84,81,144,85,158,128,201,122,53
PH,35,40,37,148,50,79,153,80,139,186,140,174,332,314,323,356,273,309,522,455,457,611,479,432
PN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0
QA,65,67,77,78,92,97,117,145,161,191,238,295,209,148,170,195,163,166,164,223,252,269,414,261
RU,145,159,188,251,215,295,312,461,484,583,575,848,984,604,813,676,789,710,602,672,756,809,809,722
