iso2,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
KZ,174,220,255,361,309,292,345,474,416,558,581,453,477,249,352,507,425,371,639,664,573,523,483,605
KE,292,307,304,316,346,390,424,435,411,479,478,470,699,585,622,689,677,601,522,705,788,728,616,545
KI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,32
XK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
KW,246,232,231,635,579,528,663,774,593,1251,1364,1972,1312,1763,2340,2308,2404,1944,1014,948,1100,788,883,424
KG,2,2,0,0,0,0,0,0,0,6,0,9,10,1,4,4,4,4,2,5,4,1,10,0
LA,7,6,8,9,10,12,11,20,8,4,4,33,42,52,63,40,46,31,35,40,19,13,16,15
LB,23,25,24,32,30,39,29,29,35,43,77,73,70,120,136,115,186,154,172,214,179,196,176,147
LS,0,0,0,0,0,2,4,4,3,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0
LR,0,1,0,2,2,2,16,1,3,10,8,13,4,4,4,4,2,1,0,34,3,35,9,3
LY,533,416,312,421,383,384,414,372,549,774,837,1102,995,1567,544,1774,1330,381,103,261,882,651,214,87
LI,28,23,23,24,28,27,27,19,15,41,192,92,62,19,26,1,1,7,27,45,64,34,11,16
MO,57,47,38,46,50,40,47,45,29,34,35,20,13,15,22,17,21,19,17,22,12,18,15,14
MG,28,24,27,25,32,30,28,27,26,39,45,47,49,39,49,27,37,50,43,83,33,33,33,26
MW,16,15,16,17,19,20,25,29,25,21,21,50,51,38,47,41,48,39,56,32,59,37,34,35
MY,2337,2341,2542,2820,2478,2204,2164,2270,2169,2405,2177,2300,2204,2356,2157,2035,2035,2210,2204,2469,2287,2271,2493,2345
MV,59,63,64,75,76,88,97,140,121,149,132,136,185,125,154,174,166,143,99,111,125,152,247,130
ML,1,1,4,6,5,9,19,9,9,20,9,17,10,6,1,0,0,0,1,11,1,4,69,3
MH,0,0,1,0,0,0,0,0,2,0,2,1,13,12,25,41,52,63,26,58,90,159,176,167
MR,20,12,20,6,6,4,4,10,14,18,17,9,4,11,6,8,8,48,7,5,3,1,3,7
MU,409,394,377,366,430,458,453,478,468,508,482,541,622,544,604,560,732,707,602,622,676,693,808,671
MX,529,560,616,927,1087,844,804,764,722,726,909,1210,1027,1400,1423,1126,1290,1433,1603,1800,2166,2218,2650,1775
FM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
MD,0,0,1,7,6,5,4,4,11,17,20,31,48,53,50,67,103,108,152,214,228,237,221,824
MN,10,6,3,9,7,5,0,1,1,4,3,1,6,7,5,10,10,7,22,10,11,13,18,20
ME,0,0,0,0,0,0,0,0,0,0,0,5,11,17,27,18,14,9,10,36,38,50,38,10
MS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0
MA,448,479,523,577,631,638,628,690,604,613,777,749,592,580,616,718,835,970,951,1428,1098,1134,1234,820
MZ,17,15,13,17,21,20,29,22,27,27,69,95,81,88,111,85,125,120,132,83,109,134,89,69
MM,18,25,24,55,72,69,68,78,37,28,27,33,45,55,39,42,62,91,106,189,283,347,364,302
NA,25,29,84,69,318,185,114,229,290,354,260,163,144,228,450,293,84,49,38,139,34,32,49,38
NR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NP,10,9,23,24,24,23,25,34,30,35,31,46,58,55,62,172,223,196,228,139,90,69,335,51
NC,6,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,12,9,18,16
NZ,821,816,835,844,909,994,997,1080,1207,1162,1165,1164,1169,1235,1201,1225,1164,1242,1244,1232,1456,1290,1231,1046
NI,12,5,1,6,9,6,6,2,5,11,3,10,9,13,23,30,23,27,24,32,53,43,44,60
NE,11,8,2,0,12,0,3,0,0,0,0,3,4,0,5,4,12,14,16,9,4,1,5,0
