country,sector,service
austria,mechanical electrical and process engineering,export_wins
australia,software and computer services business to business (b2b),export_wins
czechia,food and drink,export_wins
panama,communications,export_wins
france,"metals, minerals and materials",export_wins
germany,"creative and media : art, design and creativity : fashion",export_wins
thailand,"clothing, footwear and fashion",export_wins
malaysia,business (and consumer) services,export_wins
switzerland,food and drink,export_wins
germany,creative and media : creative and media distribution : film and video,export_wins
new zealand,security,export_wins
china,food and drink : beverages and alcoholic drinks,export_wins
netherlands,software and computer services business to business (b2b),export_wins
cambodia,environment : waste management,export_wins
india,healthcare and medical,export_wins
indonesia,oil and gas,export_wins
sweden,creative and media : media reproduction : printing,export_wins
switzerland,creative and media : media : music,export_wins
hungary,retail,export_wins
united arab emirates,food and drink,export_wins
india,business (and consumer) services : marketing services,export_wins
denmark,"creative and media : art, design and creativity",export_wins
poland,advanced engineering,export_wins
france,leisure and tourism,export_wins
china,education and training,export_wins
belgium,food and drink : bakery products,export_wins
nigeria,education and training,export_wins
romania,mechanical electrical and process engineering,export_wins
switzerland,retail,export_wins
russia,retail,export_wins
spain,automotive,export_wins
canada,healthcare and medical : medical devices and systems,export_wins
china,construction,export_wins
colombia,retail,export_wins
south africa,creative and media : creative and media wholesaling : musical instruments,export_wins
ukraine,food and drink : food and drink manufacturing,export_wins
iran,"giftware, jewellery and tableware",export_wins
hungary,food and drink,export_wins
austria,creative and media : media reproduction : printing,export_wins
costa rica,business (and consumer) services,export_wins
peru,food and drink : dairy products,export_wins
barbados,construction,export_wins
russia,environment,export_wins
ukraine,"agriculture, horticulture and fisheries",export_wins
hong kong,food and drink,export_wins
russia,global sports projects,export_wins
australia,"household goods, furniture and furnishings",export_wins
poland,financial services (including professional services) : professional services,export_wins
lithuania,creative and media : creative and media distribution,export_wins
india,mass transport,export_wins
portugal,financial services (including professional services) : capital markets,export_wins
italy,communications : mobile,export_wins
botswana,healthcare and medical,export_wins
spain,airports,export_wins
slovenia,food and drink : bakery products,export_wins
china,life sciences,export_wins
china,"clothing, footwear and fashion",export_wins
germany,"clothing, footwear and fashion",export_wins
chile,power,export_wins
oman,water,export_wins
australia,life sciences,export_wins
denmark,food and drink,export_wins
hong kong,food and drink : beverages and alcoholic drinks,export_wins
poland,"metals, minerals and materials : metals",export_wins
france,"metals, minerals and materials : elastomers and rubbers",export_wins
germany,creative and media : media : video games,export_wins
austria,business (and consumer) services,export_wins
spain,"household goods, furniture and furnishings",export_wins
spain,education and training,export_wins
switzerland,education and training,export_wins
germany,"household goods, furniture and furnishings",export_wins
rwanda,education and training,export_wins
china,food and drink : beverages and alcoholic drinks,export_wins
netherlands,power,export_wins
canada,creative and media : creative and media equipment,export_wins
poland,"creative and media : art, design and creativity",export_wins
germany,"textiles, interior textiles and carpets",export_wins
spain,business (and consumer) services,export_wins
brazil,oil and gas,export_wins
malawi,construction,export_wins
iraq,business (and consumer) services : hr services,export_wins
china,airports,export_wins
sweden,food and drink,export_wins
china,"clothing, footwear and fashion",export_wins
china,advanced engineering,export_wins
japan,creative and media : creative and media wholesaling,export_wins
chile,renewable energy : solar,export_wins
germany,construction,export_wins
spain,biotechnology and pharmaceuticals,export_wins
cameroon,business (and consumer) services,export_wins
sweden,healthcare and medical : medical consumables,export_wins
germany,food and drink,export_wins
israel,defence and security,export_wins
turkmenistan,healthcare and medical,export_wins
hungary,security,export_wins
india,aerospace : maintenance,export_wins
saudi arabia,retail,export_wins
malta,food and drink : pet food,export_wins
kenya,renewable energy : solar,export_wins
united arab emirates,electronics and it hardware,export_wins
belgium,"creative and media : art, design and creativity : artistic and literary creation",export_wins
brazil,"agriculture, horticulture and fisheries",export_wins
united arab emirates,security,export_wins
jamaica,education and training,export_wins
germany,"clothing, footwear and fashion",export_wins
australia,food and drink,export_wins
